,Name,Country,Brand,Categories,Tasting Notes,ABV,Food Pairing,Suggested Glassware,Suggested Serving Temperature,Sweet-Dry Scale,Body,Rating,Rate Count,Price,Volume,Description
77,Louis Jadot Beaujolais Villages,France,Louis Jadot,"Gamay, Red Wine","Berry, Cherry, Fruity, Spicy",12.70%,"Chicken, Fish - Meaty  Oily, Mushrooms",Burgundy  Bourgogne Glass,55-60° F,Dry Wine,Light,4.9,108,$12.99 ,,"An easy-drinking wine made with high quality grapes grown in the southern part of Beaujolais. Soils are light, and allow a light, fresh expression of Gamay. The grapes are handpicked in whole bunches and cold soaking is longer than usual for Beaujolais."
78,Jadot Pouilly Fuisse,France,Louis Jadot,"Chardonnay, White Wine",,13%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,50-55° F,Dry Wine,Full,4.8,27,$26.99 ,,"In southern Burgundy, at the northern border of Beaujolais, lies the Pouilly-Fuisse appellation. At the top of the hierarchy of Maconnais wines, this area is in the heart of the great appellations that produce white wines: Fuisse, Pouilly-Loche, Pouilly-Vinzelles and Saint-Veran. The judicious, subtle use of oak allows Louis Jadot's Pouilly-Fuisse to retain its complexity and structure."
79,Louis Jadot Bourgogne Pinot Noir,France,Louis Jadot,"Pinot Noir, Red Wine",,13%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,Dry Wine,Light,5,20,$20.62 ,,"It offers a colour of medium intensity, purplish in its youth changing to ruby and then garnet, after several years in bottle. It is harmonious and balanced, with a plump fruitiness and silky texture offset by round, gentle tannins in a wine of medium body and elegant structure. The very typical, fragrant varietal bouquet is complemented by a deliciously lingering finish.  With this wine, you can enjoy grilled or boiled red meats, roasts, mild game, soft cheeses like Camembert and Brie."
82,Jadot Chateau Jacques Morgon,France,Louis Jadot,"Gamay, Red Wine",,13%,"Chicken, Fish - Meaty  Oily, Mushrooms",Burgundy  Bourgogne Glass,55-60° F,Dry Wine,Light,5,1,$26.48 ,,
86,Chateau des Jacques Moulin-a-Vent Gamay,France,Louis Jadot,"Pinot Noir, Red Wine",,13%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$25.99 ,,
87,Louis Jadot Bourgogne Le Chapitre Rouge  2012,France,Louis Jadot,"Pinot Noir, Red Wine",,13%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$33.91 ,,"This wines presents the typical aromas of Pinot Noir: red fruits when young and then with more age, rather undergrowth and more spicy. This wine can be serve chilled when young with grilled and roasted meat. After a couple of years, it will match game and more ripe cheese."
88,Maison Louis Jadot Corton Pougeots 2014,France,Louis Jadot,"Pinot Noir, Red Wine",,14%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$102.99 ,,
89,Louis Jadot Les Suchots Vosne Romanee 2012,France,Louis Jadot,"Pinot Noir, Red Wine",,13.50%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$141.96 ,,
93,Louis Jadot Beaune 1er Cru Anniversary #153 2012,France,Louis Jadot,"Pinot Noir, Red Wine",,13.20%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$57.00 ,,"Louis Jadot has recently completed a winery dedicated exclusively to the production of its Bourgogne Pinot Noir. Jadot's numerous long-term relationships with wine growers guarantee that the highest-quality fruit is sourced every year from vineyards across the Burgundy appellation. To further elevate the quality, Jadot practices réplis, or declassifying some wines of higher appellations, which are added to the final blend."
99,Louis Jadot Morey St. Denis 2012,France,Louis Jadot,"Pinot Noir, Red Wine",,13%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$64.99 ,,
100,Louis Jadot Marsannay 2014,France,Louis Jadot,"Pinot Noir, Red Wine",,12%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$8.99 ,,"The Marsannay Rosé of the Maison Louis Jadot is a fresh, pleasant and fruity wine, but also structured with a beautiful material in the mouth. All the know-how of a large Burgundy house at the service of an immediate pleasure to share with friends. To discover on summer dishes typical of certain regions like the thighs of frogs, rillettes, grills ..."
102,Louis Jadot Gevrey Chambertin Lavaux St. Jacques 2012,France,Louis Jadot,"Pinot Noir, Red Wine",,13%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$0.00 ,,"An elegant, full-bodied wine of deep color with aromas and flavors of black currants and other black and red berries as well as the tannic structure to age well. It will develop for 15 to 20 years in the bottle.  Serve with sophisticated dishes such as game and sauced meats."
103,Louis Jadot Grands Echezeaux 2012,France,Louis Jadot,"Pinot Noir, Red Wine",,13.50%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$349.95 ,,"With a deep color, Louis Jadot produces a powerful wine with intense red fruits and spices aromas. It is a structured wine with a very nice balance.  It will perfectly match with sophisticated dishes like red meat ""in sauce"" (boeuf bourguignon), marinated game or quite strong cheeses."
104,Louis Jadot Chambolle Musigny les Amoureuses 2012,France,Louis Jadot,"Pinot Noir, Red Wine",,12.50%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$0.00 ,,
105,Louis Jadot Domaine Andre Gagey Clos Saint Denis 2012,France,Louis Jadot,"Pinot Noir, Red Wine",,13%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$0.00 ,,
115,Louis Jadot Pinot Noir Couvent Des Jacobins Bourgogne,France,Louis Jadot,"Pinot Noir, Red Wine",,13%,Pork,,,,Medium,5,1,$20.50 ,,"Louis Jadot Bourgogne Pinot Noir Couvent des Jacobins is a blend of wine made from grapes sourced from the Burgundy wine-growing regions of wines from the Cote d’Or and the Cote de Beaune. Wines from Saône et Loire (Mercurey, Buxy) and Irancy bring deep tannins whilst wines frome the Cote de Beaune bring more fruitiness to the final blend."
118,Jadot Vosne Romanee Suchots,France,Louis Jadot,"Pinot Noir, Red Wine",,13%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$129.99 ,,
124,Louis Jadot Chardonnay,France,Louis Jadot,"Chardonnay, White Wine",,13%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,50-55° F,Dry Wine,Full,5,1,$17.56 ,,"Louis Jadot Chardonnay  Bourgogne White 100% chardonnay  The Bourgogne Chardonnay is a blend of various grapes coming mainly from Côte d'Or and Mâconnais.    characteristics  Part of this cuvée is aged in oak barrels and part of it in stainless steel tanks. The result is a combination of freshness, fruitiness and structure and nice body.    wine making  This wine is aged during about 8 months.    winemaker's comments / gastronomy  This Bourgogne Chardonnay is a fruity wine showing aromas of flowers and fruit flesh; it is harmonious and very pleasant.  Ideally it can be drunk with vegetable terrines, poultry, goat cheese but also as an apéritif.  It will be very pleasant at a temperature between 10 to 12°C.  After 2 or 3 years of aging, other aromas will develop allowing this chardonnay to be paired with a more sophisticated cuisine."
127,Maison Louis Jadot Chassagne Montrachet,France,Louis Jadot,"Chardonnay, White Wine",,13.50%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,50-55° F,Dry Wine,Full,5,1,$76.52 ,,"A deeply colored, full-bodied wine of depth and intensity with rich white fruit and toasted hazelnut aromas and flavors and a persistent, earthy finish. An excellent companion to fish, shellfish, veal and poultry, especially in cream sauces."
128,Jadot Puligny Montrachet,France,Louis Jadot,"Chardonnay, White Wine",,13.50%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,50-55° F,Dry Wine,Full,5,1,$82.49 ,,"Distinctive, concentrated fresh fruit and vanilla aromas carry on to the palate and culminate in a persistent, lingering finish. Puligny produces wines with greater firmness and depth than those of Meursault, and greater refinement and delicacy than those of Chassagne."
131,Louis Jadot Corton Charlemagne Grand Cru 2014,France,Louis Jadot,"Chardonnay, White Wine",,13.50%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,50-55° F,Dry Wine,Full,5,1,$173.99 ,,
138,Jadot Pul Mont Garenne,France,Louis Jadot,"Chardonnay, White Wine",,13.50%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,50-55° F,Dry Wine,Full,5,1,$99.99 ,,
148,Jadot Chateau Jacques Chardonnay,France,Louis Jadot,"Chardonnay, White Wine",,12.50%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,50-55° F,Dry Wine,Full,5,1,$22.87 ,,
150,Louis Jadot Rosé,France,Louis Jadot,"Pink Wine, Ros Wine",,12%,,,,,,2.5,2,$12.99 ,,"If you like Provence rose, try this from a little further north, made by Louis Jadot in Burgundy. We were shown this pale salmon-tinged rose on a recent buying trip and fell in love with its bright strawberry and recurrant fruits and delicate, crisp, fresh finish. Try with smoked salmon mousse and canapés."
151,Veuve Clicquot Brut Yellow Label Champagne,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine","Apple, Biscuit, Bold, Bready, Bright, Dry, Fresh, Fruity, Minerality, Silky",12%,"Cheese - Blue, Cheese - Hard Aged, Cured Meats, Fish - Meaty  Oily, Fish - White, Shellfish, Turkey",,,Dry Wine,,4.9,598,$51.99 ,750ml,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity and elegance to our wines.

Veuve Clicquot Yellow Label is the signature champagne of the House. Dominated by Pinot Noir, it offers a perfect balance of structure and finesse.

The House’s signature Yellow Label is immediately pleasing on the nose while its complexity explodes on the palate. The initial notes of fruit are followed by more discreet aromas of brioche and vanilla. Yellow Label offers a perfect balance of finesse and forcefulness

This product may be available in a gift box depending upon retailer availability. Please contact customer support with any questions."
152,Veuve Clicquot Rosé Champagne,France,Veuve Clicquot Champagne,"Sparkling Ros Wine, Sparkling Wine","Berry, Bright, Dried Fruit, Red Fruit, Toasty",12%,"Beef, Dessert - Fruit, Duck  Game Bird, Fish - Meaty  Oily, Fish - White, Fruit - Sweet, Pasta, Shellfish, Tomatoes",,,Dry Wine,,4.7,43,$69.99 ,,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity and elegance to our wines.

In 1818, Madame Clicquot invented the first known blended Rosé Champagne. Known for its liveliness and burst of fruits, Madame Clicquot's innovation can still be enjoyed today with Veuve Clicquot Rosé .

Veuve Clicquot Rosé ensures the consistency of the House style: an intense and elegant champagne with a delightfully luscious, fruit-based charm."
153,Veuve Clicquot Yellow Label Gift Box Champagne,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine","Acidic, Minerality, Peach, Acidic",12%,"Duck  Game Bird, Fish - White, Shellfish",,,,,4.7,24,$59.99 ,,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity and elegance to our wines.

Veuve Clicquot Yellow Label is the signature champagne of the House. Dominated by Pinot Noir, it offers a perfect balance of structure and finesse

Availability of the Gift Box depends upon retailer. Please contact customer support or the store with any questions."
154,Veuve Clicquot Yellow Label Ice Jacket Champagne,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine","Rich, Smooth, Sweet",12%,,,,,,4.5,20,$54.99 ,,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity and elegance to our wines.

Veuve Clicquot Yellow Label is the signature champagne of the House. Dominated by Pinot Noir, it offers a perfect balance of structure and finesse

Sleek champagne chiller designed to keep a bottle cold for up to two hours. Stylish and practical way to enjoy a bottle of Yellow Label."
155,Veuve Clicquot Rich Champagne,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine","Fresh, Fruity, Rich, Smooth",12%,,,,,,5,11,$69.99 ,,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity and elegance to our wines.

Veuve Clicquot Rich is the first champagne inspired by mixology. Clicquot Rich is best enjoyed over ice with fresh ingredients, including grapefruit, cucumber and even pepper"
156,Veuve Clicquot Rich Rosé Champagne,France,Veuve Clicquot Champagne,"Sparkling Ros Wine, Sparkling Wine",,12%,,,,,,5,6,$74.99 ,,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity and elegance to our wines.

Veuve Clicquot Rich is the first champagne inspired by mixology. Clicquot Rich Rosé is best enjoyed over ice with fresh ingredients, including lime and ginger."
157,Veuve Clicquot Rosé Gift Box Champagne,France,Veuve Clicquot Champagne,"Sparkling Ros Wine, Sparkling Wine","Fresh, Fruity, Rich, Smooth, Sweet",12%,,,,,,5,3,$67.99 ,,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity and elegance to our wines.

In 1818, Madame Clicquot invented the first known blended Rosé Champagne. Known for its liveliness and burst of fruits, Madame Clicquot's innovation can still be enjoyed today with Veuve Clicquot Rosé .

Availability of the Gift Box depends upon retailer. Please contact customer support or the store with any questions."
158,Veuve Clicquot Vintage Brut Champagne,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine",,12%,,,,,,3,5,$79.99 ,,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity, and elegance to our wines.

Vintage 2012 displays a bright yellow color with reﬁned gold hints. The nose is fresh and delicate, with hints of dried apricots. Enhanced with grilled, toasted notes, the nose evolves toward complex aromas of ﬁgs, dried fruits, honey, trufﬂe, and mocha. On the other side, the wood brings soft spices of vanilla and nutmeg. On the palate, the wine delivers a fresh note. Then the aromas of fruits with candied citrus, and roasted pears appear, ending with refreshing notes of green hazelnuts and almonds. The structure, which is the signature of the vintage cuvée, is angular and complete, playing on the strong foundation of the Pinot Noir

Please contact support@drizly.com, or call the store, to confirm vintage."
159,Veuve Clicquot Demi-Sec Champagne,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine","Acidic, Biscuit, Fresh, Fruity, Honey, Round, Toasty",12%,"Cheese - Blue, Cheese - Creamy  Bloomy, Cheese - Fresh  Soft, Cheese - Hard Aged, Cheese - Nutty  Semi-Firm, Dessert - Chocolate  Coffee, Dessert - Vanilla  Caramel, Fruit - Citrus, Fruit - Dried, Fruit - Sweet",,,Semi-Sweet  Off-Dry,,5,2,$65.25 ,,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity and elegance to our wines.

True to Veuve Clicquot style, Demi-Sec is blended largely from Pinot Noir and has a higher dosage which gives it richer notes, without detracting from its freshness."
160,Veuve Clicquot Yellow Label Cassette Tape,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine","Apple, Biscuit, Bready, Bright, Vanilla",12%,"Cheese - Creamy  Bloomy, Cheese - Hard Aged, Cheese - Nutty  Semi-Firm, Cheese - Stinky, Fish - Meaty  Oily, Fish - White, Shellfish, Tomatoes",,,,,5,2,$45.98 ,,"Discover the Veuve Clicquot Cassette Tape, available in a unique collection of 6 distinct designs that house the iconic Yellow Label. The metallic cassette tape tin holds one 750ML bottle and keeps it chilled for up to 2 hours."
161,Veuve Clicquot Vintage Rosé Champagne,France,Veuve Clicquot Champagne,"Sparkling Ros Wine, Sparkling Wine",,12%,,,,,,5,1,$90.59 ,,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity, and elegance to our wines.

In spring 2012, the region faced a heavy rainfall of 60% above the average of the season, followed by late frost, and ﬁnally, a series of severe hailstorms which ruined more than 1,000 hectares of the overall Champagne vineyard. Then summer came around mid-August and brought ideal sunny conditions, very dry weather, and high temperatures until the end of the harvest. Despite the weather challenges which led to a relatively modest harvest, quality is optimal, revealing a great aging potential for the wines. 

As with any Veuve Clicquot champagne, Pinot Noir dominates the blend (51%) exclusively from Grands and Premiers Crus from the Montagne de Reims and the Vallée de la Marne (Verzy, Verzenay, Ludes, Ambonnay, Bouzy, Tauxières, Avenay and Aÿ). Then 15% of Meunier from the Montagne de Reims (Ludes) and the Vallée de la Marne (Dizy) brings roundness to this cuvée. 

The uniqueness of the Veuve Clicquot Vintage 2012 stems from the addition of 11% wines aged in large oak casks, bringing strength and aromatic intensity. The Vintage Rosé 2012 blend consists of 13% red still wine, exclusively from the Pinot Noir of Bouzy. The dominance of Pinot Noir and the wooden touch deliver structure and character, a trademark of the Veuve Clicquot style."
162,Veuve Clicquot Brut Rosé Vintage Champagne,France,Veuve Clicquot Champagne,"Sparkling Ros Wine, Sparkling Wine",,12%,,,,,,5,1,$102.49 ,,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity, and elegance to our wines.

In spring 2012, the region faced a heavy rainfall of 60% above the average of the season, followed by late frost, and ﬁnally, a series of severe hailstorms which ruined more than 1,000 hectares of the overall Champagne vineyard. Then summer came around mid-August and brought ideal sunny conditions, very dry weather, and high temperatures until the end of the harvest. Despite the weather challenges which led to a relatively modest harvest, quality is optimal, revealing a great aging potential for the wines. 

As with any Veuve Clicquot champagne, Pinot Noir dominates the blend (51%) exclusively from Grands and Premiers Crus from the Montagne de Reims and the Vallée de la Marne (Verzy, Verzenay, Ludes, Ambonnay, Bouzy, Tauxières, Avenay and Aÿ). Then 15% of Meunier from the Montagne de Reims (Ludes) and the Vallée de la Marne (Dizy) brings roundness to this cuvée. 

The uniqueness of the Veuve Clicquot Vintage 2012 stems from the addition of 11% wines aged in large oak casks, bringing strength and aromatic intensity. The Vintage Rosé 2012 blend consists of 13% red still wine, exclusively from the Pinot Noir of Bouzy. The dominance of Pinot Noir and the wooden touch deliver structure and character, a trademark of the Veuve Clicquot style."
163,Veuve Clicquot Rose Clicq’call,France,Veuve Clicquot Champagne,"Sparkling Ros Wine, Sparkling Wine",,12%,,,,,,5,1,$69.99 ,,"Veuve Clicquot Rosé ensures the consistency of the House style: an intense and elegant champagne with a delightfully luscious, fruit-based charm. 

Sip Rosé and record with the Clic’call! This unique gift box features Veuve Clicquot’s signature Rosé champagne AND a built-in speaker for you to share a personal message – no card, no problem!"
164,Veuve Clicquot Rose in Pencil,France,Veuve Clicquot Champagne,"Sparkling Ros Wine, Sparkling Wine",,12.50%,,,,,,5,1,$69.99 ,,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity and elegance to our wines.

In 1818, Madame Clicquot invented the first known blended Rosé Champagne. Known for its liveliness and burst of fruits, Madame Clicquot's innovation can still be enjoyed today with Veuve Clicquot Rosé ."
165,Veuve Clicquot Rose Shopping Bag,France,Veuve Clicquot Champagne,"Sparkling Ros Wine, Sparkling Wine",,12%,,,,,,5,1,$70.00 ,,"Veuve Clicquot Rosé ensures the consistency of the House style: an intense and elegant champagne with a delightfully luscious, fruit-based charm."
166,Veuve Clicquot Rose Scream Your Love,France,Veuve Clicquot Champagne,"Sparkling Ros Wine, Sparkling Wine",,12.50%,,,,,,5,1,$73.91 ,,"Veuve Clicquot Rosé ensures the consistency of the House style: an intense and elegant champagne with a delightfully luscious, fruit-based charm."
167,Veuve Clicquot La Grande Dame Rose,France,Veuve Clicquot Champagne,"Sparkling Ros Wine, Sparkling Wine",,12.50%,,,,,,5,1,$349.97 ,,"La Grande Dame Rosé is the Veuve Clicquot House’s rarest wine from Pinot Noir grapes.

Harvesting took place from 23 September to 13 October, following exceptional weather conditions, which brought all the grapes to optimum ripeness. The resulting wines were ideal for a La Grande Dame declaration, with the Pinot Noir grapes both fruity and full-bodied."
168,Veuve Clicquot La Grande Dame Rose 2004 – Gift Box,France,Veuve Clicquot Champagne,"Sparkling Ros Wine, Sparkling Wine",,12.50%,,,,,,5,1,$375.99 ,,"La Grande Dame Rosé is the Veuve Clicquot House’s rarest wine from Pinot Noir grapes.

Harvesting took place from 23 September to 13 October, following exceptional weather conditions, which brought all the grapes to optimum ripeness. The resulting wines were ideal for a La Grande Dame declaration, with the Pinot Noir grapes both fruity and full-bodied."
169,Veuve Clicquot La Grande Dame Rose 2006,France,Veuve Clicquot Champagne,"Sparkling Ros Wine, Sparkling Wine",,12.50%,,,,,,5,1,$361.43 ,,"La Grande Dame Rosé is the Veuve Clicquot House’s rarest wine from Pinot Noir grapes.

The 2006 vintage was distinguished by an unusually dry and sunny June and July, promoting excellent flowering and good, steady ripening. August was rainy and humid, threatening the early-summer promise with fears of mildew and botrytis. But September brought more sun and heat, and harvest unfolded between the 14 and 29 of September, allowing for an abundant yield of superb quality."
170,Veuve Clicquot Vintage Rose 1996 Magnum,France,Veuve Clicquot Champagne,"Sparkling Ros Wine, Sparkling Wine",,12%,,,,,,5,1,$242.63 ,,"Veuve Clicquot Vintage Rosé 1996 is a blend of 20 Grands and Premiers Crus, harvested during the same exceptional year. This wine is expressive and reveals great freshness when tasted."
172,Veuve Clicquot La Grande Dame Vintage Champagne,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine","Bold, Citrus, Crisp, Dried Fruit, Fresh, Minerality, Nutty, Silky",12.50%,"Chicken, Fish - Meaty  Oily, Fish - White, Shellfish",,,Dry Wine,,5,1,$179.99 ,,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity and elegance to our wines

La Grande Dame, the prestige cuvée of Veuve Clicquot was created in tribute to Madame Clicquot. The finest expression of the House style it is a wine of incomparable finesse."
173,Veuve Clicquot La Grande Dame Champagne,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine",,12.50%,,,,,,5,1,$179.99 ,,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity and elegance to our wines

La Grande Dame, the prestige cuvée of Veuve Clicquot was created in tribute to Madame Clicquot. The finest expression of the House style it is a wine of incomparable finesse."
174,Veuve Clicquot Vintage Brut 2008 Champagne,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine",,12%,,,,,,5,1,$94.99 ,,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity, and elegance to our wines.

Veuve Clicquot Vintage 2008 is the first Vintage to be aged in wood barrels. It intensifies the natural aromas of wines and adds some spicy notes on the palate

Please contact support@drizly.com, or call the store, to confirm vintage."
175,Veuve Clicquot Yellow Label Arrow,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine",,12%,,,,,,5,1,$57.05 ,,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity and elegance to our wines.

Veuve Clicquot Yellow Label is the signature champagne of the House. Dominated by Pinot Noir, it offers a perfect balance of structure and finesse

The Clicquot Arrow can point the way through a collection of 29 destinations from New York to Kyoto to Paris... and the distance separating you from Reims, the center of the House’s production."
178,Veuve Clicquot La Grande Dame Vintage Champagne Carousel Gift Box,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine",,12.50%,,,,,,5,1,$185.91 ,,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity and elegance to our wines

La Grande Dame, the prestige cuvée of Veuve Clicquot was created in tribute to Madame Clicquot. The finest expression of the House style it is a wine of incomparable finesse.

Gift Box availability varies by store. Check with Drizly support or your local store to confirm."
