Name,Country,Brand,Categories,Type,Tasting Notes,ABV,IBU,Calories Per Serving (12 OZ/0.35L),Carbs Per Serving (12 OZ/0.35L),Food Pairing,Suggested Serving Temperature,Rating,Rate Count,Price,Volume,Description
Beer A,Country B,Brand B,Category C,Type B,Note C,4.0,25,289,18.0,Food Pairing B,Cold,2.7,175,19.75,12 OZ/0.35L,Beer description
Beer D,Country A,Brand A,Category B,Type C,Note B,7.0,49,240,10.0,Food Pairing B,Room temperature,4.1,125,2.38,12 OZ/0.35L,Beer description
Beer D,Country A,Brand C,Category B,Type A,Note B,10.0,58,224,5.0,Food Pairing A,Cold,4.6,466,15.64,12 OZ/0.35L,Beer description
Beer D,Country B,Brand B,Category C,Type C,Note B,5.0,85,126,12.0,Food Pairing B,Chilled,4.1,412,14.62,12 OZ/0.35L,Beer description
Beer A,Country C,Brand B,Category A,Type A,Note A,6.0,33,196,14.0,Food Pairing B,Chilled,3.0,63,3.81,12 OZ/0.35L,Beer description
Beer A,Country A,Brand C,Category A,Type B,Note B,9.0,64,140,17.0,Food Pairing A,Room temperature,2.8,350,16.63,12 OZ/0.35L,Beer description
Beer B,Country B,Brand C,Category C,Type A,Note C,9.0,46,216,23.0,Food Pairing B,Cold,4.1,418,18.03,12 OZ/0.35L,Beer description
Beer B,Country A,Brand A,Category A,Type B,Note B,5.0,24,252,3.0,Food Pairing C,Chilled,2.0,55,14.44,12 OZ/0.35L,Beer description
Beer A,Country A,Brand C,Category C,Type A,Note A,7.0,46,128,21.0,Food Pairing C,Chilled,2.0,108,17.21,12 OZ/0.35L,Beer description
Beer B,Country C,Brand A,Category A,Type C,Note C,5.0,57,151,7.0,Food Pairing B,Cold,4.0,102,12.13,12 OZ/0.35L,Beer description
Beer B,Country A,Brand B,Category B,Type A,Note A,8.0,58,136,11.0,Food Pairing C,Room temperature,1.5,213,6.93,12 OZ/0.35L,Beer description
Beer E,Country B,Brand B,Category B,Type A,Note A,5.0,31,119,7.0,Food Pairing C,Cold,1.1,343,9.3,12 OZ/0.35L,Beer description
Beer A,Country A,Brand B,Category B,Type C,Note B,8.0,82,268,1.0,Food Pairing B,Chilled,4.5,129,2.99,12 OZ/0.35L,Beer description
Beer A,Country A,Brand C,Category C,Type C,Note B,12.0,48,276,7.0,Food Pairing C,Chilled,3.5,70,18.38,12 OZ/0.35L,Beer description
Beer D,Country A,Brand B,Category B,Type C,Note B,10.0,89,128,24.0,Food Pairing B,Room temperature,4.4,225,16.37,12 OZ/0.35L,Beer description
Beer D,Country C,Brand A,Category A,Type A,Note A,12.0,33,167,12.0,Food Pairing B,Chilled,4.9,33,10.09,12 OZ/0.35L,Beer description
Beer C,Country B,Brand C,Category B,Type B,Note C,11.0,24,215,12.0,Food Pairing A,Cold,1.3,494,19.55,12 OZ/0.35L,Beer description
Beer A,Country A,Brand B,Category B,Type A,Note C,10.0,52,101,17.0,Food Pairing A,Cold,4.3,479,8.21,12 OZ/0.35L,Beer description
Beer C,Country A,Brand A,Category C,Type B,Note A,7.0,21,299,28.0,Food Pairing A,Room temperature,3.7,179,10.14,12 OZ/0.35L,Beer description
Beer B,Country C,Brand A,Category C,Type A,Note B,6.0,29,104,18.0,Food Pairing B,Cold,4.3,482,19.84,12 OZ/0.35L,Beer description
Beer D,Country A,Brand B,Category A,Type A,Note A,5.0,70,133,3.0,Food Pairing C,Room temperature,3.0,119,6.78,12 OZ/0.35L,Beer description
Beer A,Country C,Brand B,Category B,Type A,Note B,4.0,90,146,3.0,Food Pairing B,Chilled,1.9,56,12.02,12 OZ/0.35L,Beer description
Beer B,Country A,Brand A,Category A,Type A,Note A,8.0,65,298,13.0,Food Pairing C,Chilled,1.6,295,3.47,12 OZ/0.35L,Beer description
Beer D,Country A,Brand B,Category C,Type C,Note B,10.0,33,138,7.0,Food Pairing A,Cold,1.3,187,13.42,12 OZ/0.35L,Beer description
Beer A,Country C,Brand A,Category A,Type A,Note A,9.0,96,281,14.0,Food Pairing A,Room temperature,4.6,294,2.1,12 OZ/0.35L,Beer description
Beer A,Country B,Brand C,Category C,Type B,Note C,6.0,36,199,0.0,Food Pairing B,Room temperature,2.2,349,1.5,12 OZ/0.35L,Beer description
Beer B,Country A,Brand B,Category C,Type C,Note C,7.0,44,162,27.0,Food Pairing C,Room temperature,4.0,478,3.84,12 OZ/0.35L,Beer description
Beer C,Country B,Brand A,Category C,Type C,Note B,8.0,24,299,13.0,Food Pairing C,Chilled,4.1,77,5.19,12 OZ/0.35L,Beer description
Beer A,Country A,Brand C,Category C,Type C,Note A,8.0,48,206,4.0,Food Pairing B,Room temperature,3.1,116,9.17,12 OZ/0.35L,Beer description
Beer E,Country C,Brand A,Category C,Type C,Note A,6.0,54,149,8.0,Food Pairing B,Chilled,3.3,258,15.19,12 OZ/0.35L,Beer description
Beer A,Country C,Brand B,Category B,Type C,Note B,12.0,93,186,16.0,Food Pairing C,Chilled,2.9,295,19.77,12 OZ/0.35L,Beer description
Beer D,Country A,Brand A,Category B,Type C,Note C,6.0,51,217,27.0,Food Pairing C,Chilled,2.9,245,19.36,12 OZ/0.35L,Beer description
Beer E,Country A,Brand C,Category A,Type A,Note A,11.0,25,276,23.0,Food Pairing A,Cold,1.5,406,8.92,12 OZ/0.35L,Beer description
Beer B,Country C,Brand C,Category B,Type C,Note B,11.0,9,292,7.0,Food Pairing A,Chilled,3.0,129,19.69,12 OZ/0.35L,Beer description
Beer C,Country A,Brand A,Category A,Type A,Note A,5.0,27,268,1.0,Food Pairing A,Room temperature,3.8,133,6.32,12 OZ/0.35L,Beer description
Beer A,Country C,Brand A,Category C,Type C,Note A,7.0,4,259,9.0,Food Pairing B,Chilled,4.8,128,9.08,12 OZ/0.35L,Beer description
Beer E,Country A,Brand A,Category B,Type A,Note A,12.0,47,172,29.0,Food Pairing A,Room temperature,4.2,86,13.3,12 OZ/0.35L,Beer description
Beer B,Country C,Brand B,Category A,Type A,Note B,3.0,33,277,29.0,Food Pairing A,Chilled,4.2,381,3.44,12 OZ/0.35L,Beer description
Beer A,Country A,Brand B,Category A,Type A,Note C,8.0,11,110,7.0,Food Pairing A,Cold,2.2,480,8.21,12 OZ/0.35L,Beer description
Beer E,Country B,Brand B,Category A,Type A,Note B,7.0,70,144,9.0,Food Pairing B,Cold,4.4,276,12.19,12 OZ/0.35L,Beer description
Beer B,Country C,Brand A,Category C,Type B,Note B,3.0,76,107,18.0,Food Pairing B,Room temperature,2.0,184,13.8,12 OZ/0.35L,Beer description
Beer C,Country C,Brand C,Category C,Type C,Note C,7.0,93,208,7.0,Food Pairing C,Chilled,4.1,345,14.0,12 OZ/0.35L,Beer description
Beer E,Country C,Brand C,Category C,Type B,Note A,10.0,28,296,24.0,Food Pairing A,Room temperature,5.0,230,7.31,12 OZ/0.35L,Beer description
Beer C,Country C,Brand C,Category B,Type A,Note A,10.0,99,161,21.0,Food Pairing B,Cold,4.1,60,4.57,12 OZ/0.35L,Beer description
Beer D,Country C,Brand A,Category A,Type A,Note A,10.0,75,202,19.0,Food Pairing A,Room temperature,4.2,427,10.23,12 OZ/0.35L,Beer description
Beer D,Country B,Brand B,Category C,Type C,Note B,8.0,5,156,5.0,Food Pairing B,Room temperature,4.8,329,6.25,12 OZ/0.35L,Beer description
Beer C,Country B,Brand B,Category A,Type B,Note C,11.0,51,198,2.0,Food Pairing A,Room temperature,1.4,424,4.31,12 OZ/0.35L,Beer description
Beer A,Country A,Brand A,Category B,Type A,Note A,4.0,17,272,1.0,Food Pairing C,Room temperature,1.5,299,9.31,12 OZ/0.35L,Beer description
Beer A,Country A,Brand C,Category B,Type B,Note B,4.0,36,100,28.0,Food Pairing C,Cold,4.2,391,4.95,12 OZ/0.35L,Beer description
Beer E,Country C,Brand B,Category A,Type A,Note A,11.0,25,145,10.0,Food Pairing C,Chilled,3.0,494,7.38,12 OZ/0.35L,Beer description
Beer B,Country B,Brand C,Category B,Type B,Note A,9.0,87,260,30.0,Food Pairing C,Room temperature,1.9,165,4.07,12 OZ/0.35L,Beer description
Beer E,Country C,Brand B,Category A,Type A,Note A,5.0,35,223,18.0,Food Pairing C,Cold,3.5,358,4.56,12 OZ/0.35L,Beer description
Beer E,Country A,Brand C,Category A,Type C,Note B,6.0,37,266,9.0,Food Pairing C,Cold,2.0,134,15.5,12 OZ/0.35L,Beer description
Beer E,Country A,Brand A,Category B,Type B,Note B,10.0,89,265,29.0,Food Pairing A,Room temperature,1.2,301,5.66,12 OZ/0.35L,Beer description
Beer A,Country B,Brand A,Category A,Type B,Note C,12.0,76,283,16.0,Food Pairing C,Chilled,1.5,86,11.96,12 OZ/0.35L,Beer description
Beer B,Country B,Brand B,Category C,Type B,Note C,5.0,63,212,2.0,Food Pairing C,Chilled,1.6,408,16.95,12 OZ/0.35L,Beer description
Beer A,Country A,Brand C,Category A,Type A,Note A,6.0,3,189,25.0,Food Pairing B,Chilled,4.4,63,5.22,12 OZ/0.35L,Beer description
Beer C,Country B,Brand B,Category B,Type C,Note A,7.0,35,153,0.0,Food Pairing B,Room temperature,4.1,128,3.08,12 OZ/0.35L,Beer description
Beer E,Country B,Brand C,Category B,Type B,Note C,4.0,42,150,20.0,Food Pairing A,Chilled,4.2,406,5.81,12 OZ/0.35L,Beer description
Beer E,Country C,Brand C,Category A,Type C,Note C,5.0,56,261,7.0,Food Pairing C,Cold,3.2,337,2.34,12 OZ/0.35L,Beer description
Beer B,Country A,Brand A,Category B,Type B,Note C,8.0,99,141,23.0,Food Pairing A,Room temperature,4.9,49,5.35,12 OZ/0.35L,Beer description
Beer D,Country C,Brand B,Category A,Type C,Note C,10.0,29,250,17.0,Food Pairing C,Room temperature,3.5,449,17.46,12 OZ/0.35L,Beer description
Beer E,Country C,Brand C,Category A,Type C,Note B,9.0,55,191,5.0,Food Pairing A,Chilled,3.7,457,1.22,12 OZ/0.35L,Beer description
Beer B,Country A,Brand A,Category C,Type B,Note A,12.0,77,174,20.0,Food Pairing B,Room temperature,4.9,52,9.13,12 OZ/0.35L,Beer description
Beer A,Country C,Brand A,Category B,Type A,Note B,7.0,48,184,30.0,Food Pairing A,Chilled,1.6,371,11.97,12 OZ/0.35L,Beer description
Beer C,Country B,Brand A,Category B,Type B,Note B,7.0,79,131,25.0,Food Pairing B,Cold,4.4,214,15.77,12 OZ/0.35L,Beer description
Beer A,Country C,Brand C,Category A,Type C,Note C,12.0,41,208,5.0,Food Pairing A,Chilled,1.8,21,16.19,12 OZ/0.35L,Beer description
Beer C,Country C,Brand C,Category B,Type B,Note B,5.0,92,263,27.0,Food Pairing B,Room temperature,3.5,347,13.36,12 OZ/0.35L,Beer description
Beer A,Country C,Brand B,Category A,Type B,Note C,9.0,66,268,19.0,Food Pairing C,Chilled,1.3,412,9.81,12 OZ/0.35L,Beer description
Beer C,Country B,Brand C,Category A,Type A,Note C,6.0,67,146,7.0,Food Pairing A,Room temperature,3.5,53,5.17,12 OZ/0.35L,Beer description
Beer E,Country B,Brand B,Category B,Type C,Note B,4.0,37,271,10.0,Food Pairing A,Room temperature,3.1,271,8.16,12 OZ/0.35L,Beer description
Beer C,Country C,Brand C,Category C,Type C,Note C,11.0,29,212,7.0,Food Pairing A,Cold,4.3,417,15.02,12 OZ/0.35L,Beer description
Beer E,Country B,Brand C,Category B,Type B,Note A,5.0,9,202,13.0,Food Pairing B,Room temperature,4.3,176,5.19,12 OZ/0.35L,Beer description
Beer D,Country C,Brand C,Category B,Type A,Note B,5.0,4,255,21.0,Food Pairing A,Room temperature,4.5,342,3.41,12 OZ/0.35L,Beer description
Beer B,Country A,Brand A,Category C,Type C,Note B,8.0,7,275,19.0,Food Pairing B,Chilled,1.9,48,19.3,12 OZ/0.35L,Beer description
Beer C,Country B,Brand B,Category C,Type C,Note A,7.0,35,275,11.0,Food Pairing A,Chilled,3.7,405,4.42,12 OZ/0.35L,Beer description
Beer A,Country B,Brand C,Category A,Type C,Note C,9.0,31,120,3.0,Food Pairing C,Room temperature,1.1,20,3.05,12 OZ/0.35L,Beer description
Beer C,Country C,Brand B,Category A,Type B,Note B,11.0,33,182,6.0,Food Pairing A,Room temperature,4.4,285,6.9,12 OZ/0.35L,Beer description
Beer D,Country B,Brand A,Category A,Type C,Note C,9.0,34,257,4.0,Food Pairing A,Chilled,2.0,132,6.2,12 OZ/0.35L,Beer description
Beer B,Country A,Brand B,Category C,Type B,Note B,9.0,9,282,12.0,Food Pairing B,Chilled,1.4,36,11.76,12 OZ/0.35L,Beer description
Beer B,Country C,Brand A,Category A,Type B,Note A,11.0,79,227,13.0,Food Pairing C,Chilled,3.6,338,13.43,12 OZ/0.35L,Beer description
Beer E,Country A,Brand C,Category B,Type B,Note C,5.0,49,270,7.0,Food Pairing C,Room temperature,2.4,281,2.71,12 OZ/0.35L,Beer description
Beer D,Country B,Brand B,Category C,Type A,Note B,4.0,74,225,1.0,Food Pairing C,Room temperature,3.0,400,18.87,12 OZ/0.35L,Beer description
Beer D,Country C,Brand B,Category C,Type C,Note A,8.0,54,181,7.0,Food Pairing B,Chilled,1.2,331,14.55,12 OZ/0.35L,Beer description
Beer A,Country A,Brand A,Category C,Type C,Note A,7.0,91,102,17.0,Food Pairing C,Room temperature,2.9,415,1.88,12 OZ/0.35L,Beer description
Beer B,Country B,Brand B,Category A,Type A,Note C,11.0,42,260,26.0,Food Pairing A,Room temperature,3.9,220,9.02,12 OZ/0.35L,Beer description
Beer D,Country B,Brand A,Category A,Type C,Note C,6.0,19,110,13.0,Food Pairing A,Chilled,2.8,410,15.49,12 OZ/0.35L,Beer description
Beer E,Country A,Brand B,Category A,Type A,Note A,7.0,9,290,29.0,Food Pairing B,Cold,2.6,390,18.99,12 OZ/0.35L,Beer description
Beer D,Country C,Brand A,Category B,Type C,Note B,11.0,68,228,9.0,Food Pairing A,Cold,3.6,109,9.41,12 OZ/0.35L,Beer description
Beer A,Country A,Brand B,Category B,Type C,Note A,4.0,56,112,6.0,Food Pairing A,Cold,1.8,230,5.24,12 OZ/0.35L,Beer description
Beer B,Country B,Brand C,Category B,Type B,Note A,8.0,74,236,7.0,Food Pairing A,Room temperature,4.8,264,3.31,12 OZ/0.35L,Beer description
Beer A,Country C,Brand B,Category C,Type B,Note A,10.0,3,268,3.0,Food Pairing A,Chilled,2.8,23,8.45,12 OZ/0.35L,Beer description
Beer C,Country C,Brand A,Category A,Type B,Note A,10.0,89,113,10.0,Food Pairing B,Cold,1.5,265,7.97,12 OZ/0.35L,Beer description
Beer E,Country A,Brand C,Category A,Type A,Note A,10.0,11,255,23.0,Food Pairing A,Cold,4.4,74,17.58,12 OZ/0.35L,Beer description
Beer C,Country A,Brand B,Category A,Type B,Note A,8.0,35,177,5.0,Food Pairing B,Chilled,4.0,473,16.28,12 OZ/0.35L,Beer description
Beer D,Country B,Brand C,Category C,Type B,Note B,8.0,39,118,1.0,Food Pairing B,Cold,1.5,419,13.31,12 OZ/0.35L,Beer description
Beer D,Country C,Brand A,Category A,Type C,Note C,9.0,5,199,21.0,Food Pairing C,Room temperature,1.7,393,4.52,12 OZ/0.35L,Beer description
Beer A,Country C,Brand A,Category B,Type C,Note C,7.0,73,275,22.0,Food Pairing B,Room temperature,2.1,113,10.92,12 OZ/0.35L,Beer description
Beer E,Country C,Brand A,Category A,Type B,Note A,7.0,93,149,21.0,Food Pairing C,Cold,3.5,498,13.9,12 OZ/0.35L,Beer description
Beer E,Country B,Brand B,Category B,Type B,Note C,8.0,64,124,6.0,Food Pairing A,Cold,3.0,440,10.23,12 OZ/0.35L,Beer description
Beer B,Country C,Brand A,Category C,Type A,Note C,8.0,57,163,8.0,Food Pairing A,Room temperature,3.4,316,16.8,12 OZ/0.35L,Beer description
Beer E,Country B,Brand A,Category C,Type B,Note B,4.0,52,269,14.0,Food Pairing B,Cold,3.6,421,2.21,12 OZ/0.35L,Beer description
Beer B,Country C,Brand B,Category B,Type A,Note C,3.0,38,221,3.0,Food Pairing C,Cold,4.2,376,2.54,12 OZ/0.35L,Beer description
Beer A,Country C,Brand C,Category C,Type A,Note C,8.0,37,234,8.0,Food Pairing C,Room temperature,3.4,249,19.28,12 OZ/0.35L,Beer description
Beer B,Country B,Brand B,Category B,Type C,Note A,9.0,65,290,3.0,Food Pairing B,Room temperature,5.0,271,8.01,12 OZ/0.35L,Beer description
Beer A,Country C,Brand C,Category A,Type A,Note A,9.0,78,226,6.0,Food Pairing A,Cold,2.7,110,17.12,12 OZ/0.35L,Beer description
Beer A,Country B,Brand B,Category C,Type C,Note B,9.0,20,258,10.0,Food Pairing B,Cold,3.1,460,18.52,12 OZ/0.35L,Beer description
Beer C,Country A,Brand C,Category B,Type C,Note C,8.0,59,219,5.0,Food Pairing C,Chilled,4.2,162,18.66,12 OZ/0.35L,Beer description
Beer A,Country C,Brand C,Category B,Type B,Note C,10.0,85,175,25.0,Food Pairing C,Chilled,2.1,268,15.96,12 OZ/0.35L,Beer description
Beer B,Country A,Brand C,Category B,Type A,Note A,6.0,6,207,3.0,Food Pairing C,Room temperature,2.7,406,5.2,12 OZ/0.35L,Beer description
Beer A,Country B,Brand C,Category A,Type C,Note C,4.0,9,278,13.0,Food Pairing A,Chilled,4.0,396,2.54,12 OZ/0.35L,Beer description
Beer A,Country B,Brand A,Category C,Type A,Note B,10.0,95,141,17.0,Food Pairing C,Room temperature,1.7,491,18.32,12 OZ/0.35L,Beer description
Beer C,Country B,Brand A,Category C,Type A,Note B,4.0,34,259,20.0,Food Pairing B,Chilled,2.5,335,12.06,12 OZ/0.35L,Beer description
Beer E,Country B,Brand C,Category B,Type C,Note B,11.0,6,107,10.0,Food Pairing B,Cold,3.5,121,10.75,12 OZ/0.35L,Beer description
Beer B,Country C,Brand A,Category B,Type A,Note A,9.0,80,153,8.0,Food Pairing C,Room temperature,3.3,416,3.54,12 OZ/0.35L,Beer description
Beer A,Country C,Brand B,Category B,Type B,Note C,10.0,85,112,16.0,Food Pairing C,Room temperature,3.3,69,9.25,12 OZ/0.35L,Beer description
Beer B,Country A,Brand A,Category C,Type C,Note B,9.0,39,251,13.0,Food Pairing A,Cold,2.2,292,19.06,12 OZ/0.35L,Beer description
Beer C,Country C,Brand C,Category C,Type B,Note B,8.0,49,240,18.0,Food Pairing C,Room temperature,1.8,369,5.7,12 OZ/0.35L,Beer description
Beer B,Country C,Brand B,Category A,Type C,Note A,7.0,86,151,1.0,Food Pairing B,Cold,3.6,104,19.24,12 OZ/0.35L,Beer description
Beer A,Country B,Brand B,Category C,Type C,Note A,10.0,71,264,12.0,Food Pairing C,Cold,1.4,314,15.59,12 OZ/0.35L,Beer description
Beer B,Country B,Brand C,Category B,Type C,Note B,4.0,6,165,7.0,Food Pairing A,Room temperature,2.7,440,9.03,12 OZ/0.35L,Beer description
Beer B,Country C,Brand A,Category B,Type C,Note B,10.0,85,112,18.0,Food Pairing A,Cold,4.9,49,12.67,12 OZ/0.35L,Beer description
Beer B,Country A,Brand B,Category C,Type B,Note B,7.0,40,202,8.0,Food Pairing B,Room temperature,2.8,159,12.64,12 OZ/0.35L,Beer description
Beer D,Country A,Brand A,Category B,Type C,Note B,11.0,26,161,1.0,Food Pairing C,Chilled,4.1,297,9.9,12 OZ/0.35L,Beer description
Beer C,Country C,Brand C,Category C,Type A,Note C,9.0,67,207,6.0,Food Pairing B,Chilled,2.8,220,10.02,12 OZ/0.35L,Beer description
Beer C,Country A,Brand C,Category B,Type A,Note C,6.0,53,185,16.0,Food Pairing B,Cold,3.2,357,16.56,12 OZ/0.35L,Beer description
Beer C,Country A,Brand A,Category B,Type C,Note B,7.0,85,245,2.0,Food Pairing A,Chilled,3.3,91,18.65,12 OZ/0.35L,Beer description
Beer B,Country B,Brand A,Category A,Type C,Note B,3.0,4,164,7.0,Food Pairing C,Chilled,3.4,60,6.86,12 OZ/0.35L,Beer description
Beer B,Country A,Brand B,Category B,Type A,Note C,9.0,21,107,8.0,Food Pairing C,Cold,4.8,179,9.23,12 OZ/0.35L,Beer description
Beer A,Country B,Brand A,Category B,Type A,Note C,7.0,51,241,27.0,Food Pairing A,Room temperature,2.7,294,17.32,12 OZ/0.35L,Beer description
Beer D,Country A,Brand C,Category B,Type C,Note B,6.0,96,271,17.0,Food Pairing A,Cold,4.9,254,1.84,12 OZ/0.35L,Beer description
Beer B,Country C,Brand B,Category A,Type C,Note B,6.0,89,235,25.0,Food Pairing C,Chilled,3.1,434,12.45,12 OZ/0.35L,Beer description
Beer A,Country B,Brand A,Category A,Type C,Note B,9.0,67,241,1.0,Food Pairing C,Room temperature,1.9,189,9.28,12 OZ/0.35L,Beer description
Beer A,Country B,Brand B,Category A,Type B,Note C,6.0,73,176,14.0,Food Pairing A,Room temperature,4.6,403,15.06,12 OZ/0.35L,Beer description
Beer C,Country B,Brand A,Category C,Type C,Note A,9.0,73,140,12.0,Food Pairing A,Cold,1.8,237,10.8,12 OZ/0.35L,Beer description
Beer A,Country A,Brand C,Category A,Type A,Note A,8.0,48,245,30.0,Food Pairing A,Room temperature,4.7,93,7.75,12 OZ/0.35L,Beer description
Beer C,Country B,Brand A,Category C,Type C,Note A,4.0,55,203,17.0,Food Pairing B,Chilled,2.4,460,4.83,12 OZ/0.35L,Beer description
Beer D,Country B,Brand A,Category C,Type A,Note B,4.0,82,298,5.0,Food Pairing A,Room temperature,4.5,317,8.77,12 OZ/0.35L,Beer description
